post_id,username,platform,content_type,caption,hashtags,time_of_post,day_of_week,location,followers_count,following_count,likes,comments,shares,saves,video_views,is_sponsored,ad_spend,engagement_rate,popularity_score
CdJnic6ALn,e6vMj8,TikTok,Story,eE82jKp2QqcdMY4aX9GGiTeyaez3nKCBH7RZgRWlURzv8UXgosr4iq2cfeJ,#resapez #qxekrykgp #nzen,22:12,Monday,London,201153.0,4021.0,40999.0,7397.0,3317.0,727.0,749280.0,0.0,78.14,0.6391,
cNarCNJMPo,,Instagram,Story,Vit9nrBy5jsBSdiZAWSVsMk4mI05nfBGSlGbbSASDHxB0PSr6vagH5HkAIXbwDQGWnGulwzim6bIN566rhM4Q,#ykha #bamzjj #jdvuros #wqhdny,09:16,Sunday,Mumbai,727758.0,4180.0,37631.0,59.0,543.0,376.0,479648.0,0.0,672.25,,33.0
OzpTCyluNY,toDpkV,LinkedIn,Story,k6Mu3jMcEAvOkakcfzGMESYjUmEOwTQjsgv7hZfSu0K15vPmJjv6qq8YuTTfBlntjZZOvln0m0YkdoqqUTvjRR18deU8I,#rfdu #bbck #snw #pvdcper,16:03,,Tokyo,139157.0,925.0,10637.0,362.0,,1845.0,865927.0,1.0,124.73,0.0438,61.0
smgfCKvXhL,0T3pb5,Facebook,Video,Pt9VqpyoyjeLNmGgcsp1oFTA1q3cq7KtecJnbeJa69llBTW,#fasy #vgdiv #oxiov #dblczy #szeqb,09:21,Tuesday,Sydney,872601.0,29.0,41461.0,6614.0,4001.0,152.0,602267.0,0.0,494.35,0.1017,77.0
mWX11lmxkL,8VXTqh,Twitter,Story,mpO692TmThbb5SHXHOadG9WAL77uJbdjJsWuI6so27FWDc94faOJhqhqyiICVGueu0gbw6rtQf0oT,#edcf #ehulsm #rdxvjp #iijft #tki,,Thursday,New York,191315.0,4788.0,44811.0,6021.0,957.0,319.0,439233.0,0.0,658.05,0.9141,78.0
e6Lrjp4vEF,pZiyF2,LinkedIn,Story,BXRLQrR7wS07flhCeURJY4l5SDtQ,#kpsfyd #avmux #zvifsfwlw,20:55,Sunday,,457363.0,878.0,34127.0,7509.0,2656.0,383.0,24755.0,0.0,648.74,,42.0
75hgtV596d,GbONkc,TikTok,Story,6wkB79WihRrIdMLDkkFn2QM51brKFTnc9n9a3CCbK1RIIrx8e5R1G37xDCTa9LT8V9pfAj,#pqybdtrkyg #ocz #bexoa,10:23,Sunday,,831160.0,1752.0,23503.0,3058.0,4232.0,391.0,238975.0,1.0,760.54,0.6444,
3qJhKNAbaM,mLOFW1,Instagram,Story,,#uuijzwxpn #szxcnvib #qczzwscl #yuirespe #llgepmh,05:24,Tuesday,Mumbai,825317.0,3391.0,45725.0,,3689.0,1832.0,103166.0,0.0,,0.4115,33.0
hNa906Updx,fGnq4w,LinkedIn,Video,nsALkqzuPuioEVSQZc4f9fRKrmavV91ukWjbmLTLb1NRfFyPTtW8CBADduNogP1TDvomhvcu,#ykb #praetsnfp #mkimstq,21:05,Tuesday,New York,267002.0,4381.0,10978.0,5789.0,3284.0,435.0,194880.0,0.0,,0.4246,3.0
eh7r34Qgum,CZPHmO,,Poll,WJqor6TBcqgytOV5mpksIMOeogbKvt4Vy8lkbOU3HbHbh0FqyybMKzjF4833Y40,#gho #pkrhnaam #icl #fjugzuneqr,15:12,Thursday,New York,659207.0,,13246.0,6428.0,4896.0,1896.0,2739.0,0.0,356.16,0.0922,24.0
wsEC9tM1Kf,N4zUb4,TikTok,Poll,i1KbjZ5LVrVNuxeEsBQ3HTG5LMVSvLW,#rdeysqkv #wcgotzzdo #cwtmbipj,10:39,Wednesday,Paris,640283.0,,25698.0,4948.0,2838.0,1580.0,358670.0,0.0,616.88,0.3389,14.0
,,Instagram,Image,1fN5zv9cpFreHPeKpRpGayu7Ldrd38gU1c7gXaS2WjBWqQijCPznaw6kdDzM9HV,,,Tuesday,Tokyo,759685.0,2298.0,998.0,5658.0,3371.0,1315.0,332030.0,1.0,637.01,0.8082,68.0
xtT9x5UA8H,Sh6S5d,Twitter,Text,yv27rGJAOlFwpRJRvOeOPilu6Ed5jhNkGvC9IwQDNm12O6whaTN3zP,#nrem #rzxuxjrkm,20:15,Wednesday,London,280503.0,2397.0,49017.0,7279.0,4949.0,340.0,375866.0,0.0,582.23,0.1201,25.0
,7g3k7g,Instagram,Video,cxUK1uj0xZ6pbdbKF3ktAL83DjdhLWtjBTZl307LAkaPrx11pwump5XEiaZPVwEN4F82aXsMjg4q3A5yJWrl,#nmxaevo,00:14,Thursday,Toronto,633132.0,3074.0,27923.0,5590.0,3600.0,120.0,870399.0,0.0,808.14,0.5777,0.0
d81KWHMpmp,FYsBTK,Twitter,Video,syM38zBc4Mw8unuYXVqvUnMYDYhD7plZO0297H8aLWGM1NqL18EJJgpSB,#hcpbha #peglakf,22:51,Wednesday,Sydney,,3903.0,18019.0,5039.0,3028.0,747.0,824675.0,,664.61,0.4719,80.0
hGqgX1TvbD,bU0ywm,LinkedIn,Story,Bl4rgKJPqRif1veDYLBEIDlsdAurDn2f5y7nxRkBQcE3EsGDQQFn8ZHW4gDceWB8p,#kpdxpwqzm #tjtod,00:34,Saturday,Berlin,860187.0,2126.0,7817.0,2323.0,1108.0,319.0,87290.0,1.0,121.5,0.5966,93.0
gmKi4kombO,TVmWOn,Facebook,Video,iVkr5ZKEoPoaLrz4QVQTuyTNCBMxRu6fhSU4nwt01HoSQzdLCAZyGC36xnWj2MV4rSZ47vNPWyFbMzEhwfnrKDYU,#hkcatlfdda #snhcluhm,18:17,Wednesday,Tokyo,894579.0,1990.0,13289.0,8066.0,4494.0,462.0,739672.0,1.0,125.41,0.2709,1.0
30WlspweA5,5ieBWU,Twitter,Video,lquzxwjEXNLPB8V0151zDQQ379Jh3aLNFOdEey2Jz,,14:54,Saturday,London,94166.0,4866.0,34315.0,4577.0,,,774540.0,1.0,467.24,0.971,42.0
,FHVR93,Instagram,Image,EkZUdzyda30xoO2G8ZGZKRwzvTtyV1dffsj8URkuXwveLWUVlKCKRmSAhqbpe1uoMUY0yI83Noqs,#frznigqjp #bcyljs #ybrkshcdsb #sjofrmch #pgqxnhl,20:58,Monday,London,762182.0,2076.0,38362.0,3367.0,4006.0,1004.0,439009.0,,991.13,0.6901,96.0
WdUtW8T122,vKP8to,Facebook,Poll,tsa0mCIEAPYiaihEToj7r7qRHK5cYuglAz,#iknu #ejrgv #anwbt,14:25,Thursday,London,419512.0,1012.0,15203.0,8935.0,,1283.0,492010.0,0.0,323.81,0.1379,75.0
wT11cW2xQE,2OD8ZV,TikTok,Story,2trV69OTzNhWKXeHZ3EcgXprH9B4LWDlDfiY79MiM8Zk5HgIoISFTv,#avusvg #gybqmt,03:58,Sunday,Berlin,520278.0,1608.0,15391.0,7568.0,3207.0,1370.0,382252.0,0.0,362.05,0.6384,40.0
